名前,グレード,レベル,攻撃力,属性値,防御力
アンバーハーケン改,7,1,1480,1167,
アンバーハーケン改,8,1,1480,1183,
アンバーハーケン改,9,1,1504,1183,
アンバーハーケン改,10,1,1504,1183,
アンバーハーケン改,11,1,1504,1193,
アンバーハーケン改,12,1,1519,1193,
アンバーハーケン改,13,1,1519,1209,
アンバーハーケン改,14,1,1543,1209,
アンバーハーケン改,15,1,1543,1209,
アンバーハーケン改,16,1,1543,1219,
アンバーハーケン改,17,1,1558,1219,
アンバーハーケン改,18,1,1558,1235,
アンバーハーケン改,19,1,1582,1235,
アンバーハーケン改,20,1,1582,1235,
アンバーハーケン,4,1,234,117,
アンバーハーケン,5,1,334,181,
アンバーハーケン,6,1,430,251,
アンバーハーケン,7,1,555,349,
アンバーハーケン,8,1,716,481,
アンバーハーケン,9,1,923,663,
アンバーハーケン,10,1,1191,910,
アンバーハーケン,10,5,1426,1131,
繚乱の輝竜戟,6,1,481,277,
繚乱の輝竜戟,7,1,612,393,
繚乱の輝竜戟,8,1,779,552,
繚乱の輝竜戟,9,1,990,774,
繚乱の輝竜戟,10,1,1258,1082,
繚乱の輝竜戟,10,5,1507,1345,
蒼炎棍【飛翔】,5,1,440,134,
蒼炎棍【飛翔】,6,1,576,182,
蒼炎棍【飛翔】,7,1,753,248,
蒼炎棍【飛翔】,8,1,985,334,
蒼炎棍【飛翔】,9,1,1287,451,
蒼炎棍【飛翔】,10,1,1682,605,
蒼炎棍【飛翔】,10,5,2015,752,
火竜棍,6,1,461,320,
火竜棍,7,1,589,443,
火竜棍,8,1,751,608,
火竜棍,9,1,958,835,
火竜棍,10,1,1221,1142,
火竜棍,10,5,1463,1420,
火竜棍,1,1,1463,1428,
火竜棍,2,1,1471,1428,
火竜棍,3,1,1471,1440,
火竜棍,4,1,1483,1440,
火竜棍,5,1,1483,1440,
火竜棍,6,1,1483,1448,
火竜棍,7,1,1491,1448,
火竜棍,8,1,1491,1460,
火竜棍,9,1,1503,1460,
火竜棍,10,1,1503,1460,
火竜棍,11,1,1503,1468,
火竜棍,12,1,1511,1468,
火竜棍,13,1,1511,1480,
火竜棍,14,1,1523,1480,
火竜棍,15,1,1523,1480,
火竜棍,16,1,1523,1488,
火竜棍,17,1,1531,1488,
火竜棍,18,1,1531,1500,
火竜棍,19,1,1543,1500,
火竜棍,20,1,1543,1500,
フレイムブレード,5,1,361,232,
フレイムブレード,6,1,461,320,
フレイムブレード,7,1,589,443,
フレイムブレード,8,1,751,608,
フレイムブレード,9,1,958,835,
フレイムブレード,10,1,1221,1142,
フレイムブレード,10,5,1463,1420,
タナトスグレイブ,5,1,576,,
タナトスグレイブ,6,1,755,,
タナトスグレイブ,7,1,989,,
タナトスグレイブ,8,1,1295,,
タナトスグレイブ,9,1,1695,,
タナトスグレイブ,10,1,2218,,
タナトスグレイブ,10,5,2658,,
クギバット,6,1,671,,
クギバット,7,1,880,,
クギバット,8,1,1153,,
クギバット,9,1,1510,,
クギバット,10,1,1979,,
クギバット,10,5,2371,,
クギバット,1,1,2379,,
クギバット,2,1,2391,,
クギバット,3,1,2405,,
クギバット,4,1,2422,,
クギバット,5,1,2422,,
クギバット,6,1,2430,,
クギバット,7,1,2442,,
クギバット,8,1,2456,,
クギバット,9,1,2473,,
クギバット,10,1,2473,,
クギバット,11,1,2481,,
クギバット,12,1,2493,,
クギバット,13,1,2507,,
クギバット,14,1,2524,,
クギバット,15,1,2524,,
クギバット,16,1,2532,,
クギバット,17,1,2544,,
クギバット,18,1,2558,,
クギバット,19,1,2575,,
クギバット,20,1,2575,,
リベットクラブ,5,1,512,,
リベットクラブ,6,1,671,,
リベットクラブ,7,1,880,,
リベットクラブ,8,1,1153,,
リベットクラブ,9,1,1510,,
リベットクラブ,10,1,1979,,
リベットクラブ,10,5,2371,,
カイラライホーン,6,1,671,,
カイラライホーン,7,1,880,,
カイラライホーン,8,1,1153,,
カイラライホーン,9,1,1510,,
カイラライホーン,10,1,1979,,
カイラライホーン,10,5,2371,,
カイラライホーン,1,1,2379,,
カイラライホーン,2,1,2391,,
カイラライホーン,3,1,2405,,
カイラライホーン,4,1,2422,,
カイラライホーン,5,1,2422,,
カイラライホーン,6,1,2430,,
カイラライホーン,7,1,2442,,
カイラライホーン,8,1,2456,,
カイラライホーン,9,1,2473,,
カイラライホーン,10,1,2473,,
カイラライホーン,11,1,2481,,
カイラライホーン,12,1,2493,,
カイラライホーン,13,1,2507,,
カイラライホーン,14,1,2524,,
カイラライホーン,15,1,2524,,
カイラライホーン,16,1,2532,,
カイラライホーン,17,1,2544,,
カイラライホーン,18,1,2558,,
カイラライホーン,19,1,2575,,
カイラライホーン,20,1,2575,,
クオーラルホーン,5,1,512,,
クオーラルホーン,6,1,671,,
クオーラルホーン,7,1,880,,
クオーラルホーン,8,1,1153,,
クオーラルホーン,9,1,1510,,
クオーラルホーン,10,1,1979,,
クオーラルホーン,10,5,2371,,
角槍ディアブロス,6,1,671,,
角槍ディアブロス,7,1,880,,
角槍ディアブロス,8,1,1153,,
角槍ディアブロス,9,1,1510,,
角槍ディアブロス,10,1,1979,,
角槍ディアブロス,10,5,2371,,
角槍ディアブロス,1,1,2379,,
角槍ディアブロス,2,1,2391,,
角槍ディアブロス,3,1,2405,,
角槍ディアブロス,4,1,2422,,
角槍ディアブロス,5,1,2422,,
角槍ディアブロス,6,1,2430,,
角槍ディアブロス,7,1,2442,,
角槍ディアブロス,8,1,2456,,
角槍ディアブロス,9,1,2473,,
角槍ディアブロス,10,1,2473,,
角槍ディアブロス,11,1,2481,,
角槍ディアブロス,12,1,2493,,
角槍ディアブロス,13,1,2507,,
角槍ディアブロス,14,1,2524,,
角槍ディアブロス,15,1,2524,,
角槍ディアブロス,16,1,2532,,
角槍ディアブロス,17,1,2544,,
角槍ディアブロス,18,1,2558,,
角槍ディアブロス,19,1,2575,,
角槍ディアブロス,20,1,2575,,
ブロスホーン,5,1,512,,
ブロスホーン,6,1,671,,
ブロスホーン,7,1,880,,
ブロスホーン,8,1,1153,,
ブロスホーン,9,1,1510,,
ブロスホーン,10,1,1979,,
ブロスホーン,10,5,2371,,
ディアブルガルジート,6,1,671,,
ディアブルガルジート,7,1,880,,
ディアブルガルジート,8,1,1153,,
ディアブルガルジート,9,1,1510,,
ディアブルガルジート,10,1,1979,,
ディアブルガルジート,10,5,2371,,
ディアブルガルジート,1,1,2379,,
ディアブルガルジート,2,1,2391,,
ディアブルガルジート,3,1,2405,,
ディアブルガルジート,4,1,2422,,
ディアブルガルジート,5,1,2422,,
ディアブルガルジート,6,1,2430,,
ディアブルガルジート,7,1,2442,,
ディアブルガルジート,8,1,2456,,
ディアブルガルジート,9,1,2473,,
ディアブルガルジート,10,1,2473,,
ディアブルガルジート,11,1,2481,,
ディアブルガルジート,12,1,2493,,
ディアブルガルジート,13,1,2507,,
ディアブルガルジート,14,1,2524,,
ディアブルガルジート,15,1,2524,,
ディアブルガルジート,16,1,2532,,
ディアブルガルジート,17,1,2544,,
ディアブルガルジート,18,1,2558,,
ディアブルガルジート,19,1,2575,,
ディアブルガルジート,20,1,2575,,
ディアブルジート,5,1,512,,
ディアブルジート,6,1,671,,
ディアブルジート,7,1,880,,
ディアブルジート,8,1,1153,,
ディアブルジート,9,1,1510,,
ディアブルジート,10,1,1979,,
ディアブルジート,10,5,2371,,
タイラントグレイブ,6,1,671,,
タイラントグレイブ,7,1,880,,
タイラントグレイブ,8,1,1153,,
タイラントグレイブ,9,1,1510,,
タイラントグレイブ,10,1,1979,,
タイラントグレイブ,10,5,2371,,
タイラントグレイブ,1,1,2379,,
タイラントグレイブ,2,1,2391,,
タイラントグレイブ,3,1,2405,,
タイラントグレイブ,4,1,2422,,
タイラントグレイブ,5,1,2422,,
タイラントグレイブ,6,1,2430,,
タイラントグレイブ,7,1,2442,,
タイラントグレイブ,8,1,2456,,
タイラントグレイブ,9,1,2473,,
タイラントグレイブ,10,1,2473,,
タイラントグレイブ,11,1,2481,,
タイラントグレイブ,12,1,2493,,
タイラントグレイブ,13,1,2507,,
タイラントグレイブ,14,1,2524,,
タイラントグレイブ,15,1,2524,,
タイラントグレイブ,16,1,2532,,
タイラントグレイブ,17,1,2544,,
タイラントグレイブ,18,1,2558,,
タイラントグレイブ,19,1,2575,,
タイラントグレイブ,20,1,2575,,
ブロスロッド,5,1,512,,
ブロスロッド,6,1,671,,
ブロスロッド,7,1,880,,
ブロスロッド,8,1,1153,,
ブロスロッド,9,1,1510,,
ブロスロッド,10,1,1979,,
ブロスロッド,10,5,2371,,
フリーズゲイル,6,1,461,320,
フリーズゲイル,7,1,589,443,
フリーズゲイル,8,1,751,608,
フリーズゲイル,9,1,958,835,
フリーズゲイル,10,1,1221,1142,
フリーズゲイル,10,5,1463,1420,
フリーズゲイル,1,1,1463,1428,
フリーズゲイル,2,1,1471,1428,
フリーズゲイル,3,1,1471,1440,
フリーズゲイル,4,1,1483,1440,
フリーズゲイル,5,1,1483,1440,
フリーズゲイル,6,1,1483,1448,
フリーズゲイル,7,1,1491,1448,
フリーズゲイル,8,1,1491,1460,
フリーズゲイル,9,1,1503,1460,
フリーズゲイル,10,1,1503,1460,
フリーズゲイル,11,1,1503,1468,
フリーズゲイル,12,1,1511,1468,
フリーズゲイル,13,1,1511,1480,
フリーズゲイル,14,1,1523,1480,
フリーズゲイル,15,1,1523,1480,
フリーズゲイル,16,1,1523,1488,
フリーズゲイル,17,1,1531,1488,
フリーズゲイル,18,1,1531,1500,
フリーズゲイル,19,1,1543,1500,
フリーズゲイル,20,1,1543,1500,
フロストブレード,5,1,361,232,
フロストブレード,6,1,461,320,
フロストブレード,7,1,589,443,
フロストブレード,8,1,751,608,
フロストブレード,9,1,958,835,
フロストブレード,10,1,1221,1142,
フロストブレード,10,5,1463,1420,
クイーンレガリア,6,1,531,360,
クイーンレガリア,7,1,691,393,
クイーンレガリア,8,1,898,427,
クイーンレガリア,9,1,1167,461,
クイーンレガリア,10,1,1516,496,
クイーンレガリア,10,5,1817,516,
クイーンレガリア,1,1,1817,520,
クイーンレガリア,2,1,1827,520,
クイーンレガリア,3,1,1827,526,
クイーンレガリア,4,1,1842,526,
クイーンレガリア,5,1,1842,526,
クイーンレガリア,6,1,1842,530,
クイーンレガリア,7,1,1852,530,
クイーンレガリア,8,1,1852,536,
クイーンレガリア,9,1,1867,536,
クイーンレガリア,10,1,1867,536,
クイーンレガリア,11,1,1867,540,
クイーンレガリア,12,1,1877,540,
クイーンレガリア,13,1,1877,546,
クイーンレガリア,14,1,1892,546,
クイーンレガリア,15,1,1892,546,
クイーンレガリア,16,1,1892,550,
クイーンレガリア,17,1,1902,550,
クイーンレガリア,18,1,1902,556,
クイーンレガリア,19,1,1917,556,
クイーンレガリア,20,1,1917,556,
プリンセスレガリア,4,1,284,236,
プリンセスレガリア,5,1,409,298,
プリンセスレガリア,6,1,531,360,
プリンセスレガリア,7,1,691,393,
プリンセスレガリア,8,1,898,427,
プリンセスレガリア,9,1,1167,461,
プリンセスレガリア,10,1,1516,496,
プリンセスレガリア,10,5,1817,516,
雷顎棍ドネルカラモス改,6,1,439,319,
雷顎棍ドネルカラモス改,7,1,565,443,
雷顎棍ドネルカラモス改,8,1,725,610,
雷顎棍ドネルカラモス改,9,1,932,841,
雷顎棍ドネルカラモス改,10,1,1197,1154,
雷顎棍ドネルカラモス改,10,5,1434,1434,
雷顎棍ドネルカラモス,5,1,342,230,
雷顎棍ドネルカラモス,6,1,439,319,
雷顎棍ドネルカラモス,7,1,565,443,
雷顎棍ドネルカラモス,8,1,725,610,
雷顎棍ドネルカラモス,9,1,932,841,
雷顎棍ドネルカラモス,10,1,1197,1154,
雷顎棍ドネルカラモス,10,5,1434,1434,
フラムエルカラモス改,6,1,475,251,
フラムエルカラモス改,7,1,611,349,
フラムエルカラモス改,8,1,784,481,
フラムエルカラモス改,9,1,1007,663,
フラムエルカラモス改,10,1,1293,910,
フラムエルカラモス改,10,5,1549,1131,
フラムエルカラモス改,1,1,1549,1141,
フラムエルカラモス改,2,1,1564,1141,
フラムエルカラモス改,3,1,1564,1157,
フラムエルカラモス改,4,1,1588,1157,
フラムエルカラモス改,5,1,1588,1157,
フラムエルカラモス改,6,1,1588,1167,
フラムエルカラモス改,7,1,1603,1167,
フラムエルカラモス改,8,1,1603,1183,
フラムエルカラモス改,9,1,1627,1183,
フラムエルカラモス改,10,1,1627,1183,
フラムエルカラモス改,11,1,1627,1193,
フラムエルカラモス改,12,1,1642,1193,
フラムエルカラモス改,13,1,1642,1209,
フラムエルカラモス改,14,1,1666,1209,
フラムエルカラモス改,15,1,1666,1209,
フラムエルカラモス改,16,1,1666,1219,
フラムエルカラモス改,17,1,1681,1219,
フラムエルカラモス改,18,1,1681,1235,
フラムエルカラモス改,19,1,1705,1235,
フラムエルカラモス改,20,1,1705,1235,
フラムエルカラモス,4,1,260,117,
フラムエルカラモス,5,1,370,181,
フラムエルカラモス,6,1,475,251,
フラムエルカラモス,7,1,611,349,
フラムエルカラモス,8,1,784,481,
フラムエルカラモス,9,1,1007,663,
フラムエルカラモス,10,1,1293,910,
フラムエルカラモス,10,5,1549,1131,
ウォーターグレイブ,6,1,475,251,
ウォーターグレイブ,7,1,611,349,
ウォーターグレイブ,8,1,784,481,
ウォーターグレイブ,9,1,1007,663,
ウォーターグレイブ,10,1,1293,910,
ウォーターグレイブ,10,5,1549,1131,
ウォーターグレイブ,1,1,1549,1141,
ウォーターグレイブ,2,1,1564,1141,
ウォーターグレイブ,3,1,1564,1157,
ウォーターグレイブ,4,1,1588,1157,
ウォーターグレイブ,5,1,1588,1157,
ウォーターグレイブ,6,1,1588,1167,
ウォーターグレイブ,7,1,1603,1167,
ウォーターグレイブ,8,1,1603,1183,
ウォーターグレイブ,9,1,1627,1183,
ウォーターグレイブ,10,1,1627,1183,
ウォーターグレイブ,11,1,1627,1193,
ウォーターグレイブ,12,1,1642,1193,
ウォーターグレイブ,13,1,1642,1209,
ウォーターグレイブ,14,1,1666,1209,
ウォーターグレイブ,15,1,1666,1209,
ウォーターグレイブ,16,1,1666,1219,
ウォーターグレイブ,17,1,1681,1219,
ウォーターグレイブ,18,1,1681,1235,
ウォーターグレイブ,19,1,1705,1235,
ウォーターグレイブ,20,1,1705,1235,
アクアロッド,3,1,182,75,
アクアロッド,4,1,260,117,
アクアロッド,5,1,370,181,
アクアロッド,6,1,475,251,
アクアロッド,7,1,611,349,
アクアロッド,8,1,784,481,
アクアロッド,9,1,1007,663,
アクアロッド,10,1,1293,910,
アクアロッド,10,5,1549,1131,
ニュクスブレード,5,1,473,188,
ニュクスブレード,6,1,615,225,
ニュクスブレード,7,1,800,244,
ニュクスブレード,8,1,1040,263,
ニュクスブレード,9,1,1351,281,
ニュクスブレード,10,1,1756,300,
ニュクスブレード,10,5,2103,312,
カガチノハシラ,6,1,475,251,
カガチノハシラ,7,1,611,349,
カガチノハシラ,8,1,784,481,
カガチノハシラ,9,1,1007,663,
カガチノハシラ,10,1,1293,910,
カガチノハシラ,10,5,1549,1131,
カガチノハシラ,1,1,1549,1141,
カガチノハシラ,2,1,1564,1141,
カガチノハシラ,3,1,1564,1157,
カガチノハシラ,4,1,1588,1157,
カガチノハシラ,5,1,1588,1157,
カガチノハシラ,6,1,1588,1167,
カガチノハシラ,7,1,1603,1167,
カガチノハシラ,8,1,1603,1183,
カガチノハシラ,9,1,1627,1183,
カガチノハシラ,10,1,1627,1183,
カガチノハシラ,11,1,1627,1193,
カガチノハシラ,12,1,1642,1193,
カガチノハシラ,13,1,1642,1209,
カガチノハシラ,14,1,1666,1209,
カガチノハシラ,15,1,1666,1209,
カガチノハシラ,16,1,1666,1219,
カガチノハシラ,17,1,1681,1219,
カガチノハシラ,18,1,1681,1235,
カガチノハシラ,19,1,1705,1235,
カガチノハシラ,20,1,1705,1235,
パルサーロッド,2,1,128,47,
パルサーロッド,3,1,182,75,
パルサーロッド,4,1,260,117,
パルサーロッド,5,1,370,181,
パルサーロッド,6,1,475,251,
パルサーロッド,7,1,611,349,
パルサーロッド,8,1,784,481,
パルサーロッド,9,1,1007,663,
パルサーロッド,10,1,1293,910,
パルサーロッド,10,5,1549,1131,
ラグーナグレイブ,5,1,361,232,
ラグーナグレイブ,6,1,461,320,
ラグーナグレイブ,7,1,589,443,
ラグーナグレイブ,8,1,751,608,
ラグーナグレイブ,9,1,958,835,
ラグーナグレイブ,10,1,1221,1142,
ラグーナグレイブ,10,5,1463,1420,
ダチュラブレード,6,1,559,300,
ダチュラブレード,7,1,727,325,
ダチュラブレード,8,1,945,350,
ダチュラブレード,9,1,1228,375,
ダチュラブレード,10,1,1596,400,
ダチュラブレード,10,5,1912,417,
ダチュラブレード,1,1,1912,421,
ダチュラブレード,2,1,1922,421,
ダチュラブレード,3,1,1922,427,
ダチュラブレード,4,1,1937,427,
ダチュラブレード,5,1,1937,427,
ダチュラブレード,6,1,1937,431,
ダチュラブレード,7,1,1947,431,
ダチュラブレード,8,1,1947,437,
ダチュラブレード,9,1,1962,437,
ダチュラブレード,10,1,1962,437,
ダチュラブレード,11,1,1962,441,
ダチュラブレード,12,1,1972,441,
ダチュラブレード,13,1,1972,447,
ダチュラブレード,14,1,1987,447,
ダチュラブレード,15,1,1987,447,
ダチュラブレード,16,1,1987,451,
ダチュラブレード,17,1,1997,451,
ダチュラブレード,18,1,1997,457,
ダチュラブレード,19,1,2012,457,
ダチュラブレード,20,1,2012,457,
ブルームブレード,2,1,144,100,
ブルームブレード,3,1,207,150,
ブルームブレード,4,1,299,200,
ブルームブレード,5,1,430,250,
ブルームブレード,6,1,559,300,
ブルームブレード,7,1,727,325,
ブルームブレード,8,1,945,350,
ブルームブレード,9,1,1228,375,
ブルームブレード,10,1,1596,400,
ブルームブレード,10,5,1912,417,
アルノーラス,6,1,559,,
アルノーラス,7,1,727,,
アルノーラス,8,1,945,,
アルノーラス,9,1,1228,,
アルノーラス,10,1,1596,,
アルノーラス,10,5,1912,,
クルルブレード,2,1,144,,
クルルブレード,3,1,207,,
クルルブレード,4,1,299,,
クルルブレード,5,1,430,,
クルルブレード,6,1,559,,
クルルブレード,7,1,727,,
クルルブレード,8,1,945,,
クルルブレード,9,1,1228,,
クルルブレード,10,1,1596,,
クルルブレード,10,5,1912,,
エスペラソード,3,1,239,,
エスペラソード,4,1,347,,
エスペラソード,5,1,500,,
エスペラソード,3,1,239,,
エスペラソード,4,1,347,,
エスペラソード,5,1,500,,
ホープソード,3,1,239,,
ホープソード,4,1,347,,
ホープソード,5,1,500,,
ホープソード,3,1,239,,
ホープソード,4,1,347,,
ホープソード,5,1,500,,
エスペラダガー,3,1,239,,
エスペラダガー,4,1,347,,
エスペラダガー,5,1,500,,
エスペラダガー,3,1,239,,
エスペラダガー,4,1,347,,
エスペラダガー,5,1,500,,
ホープダガー,3,1,239,,
ホープダガー,4,1,347,,
ホープダガー,5,1,500,,
ホープダガー,3,1,239,,
ホープダガー,4,1,347,,
ホープダガー,5,1,500,,
バルーントイブレイド,3,1,240,,
バルーントイブレイド,4,1,347,,
バルーントイブレイド,5,1,501,,
バルーントイブレイド,6,1,654,,
バルーントイブレイド,7,1,853,,
バルーントイブレイド,8,1,1113,,
バルーントイブレイド,9,1,1451,,
バルーントイブレイド,10,1,1893,,
バルーントイブレイド,10,5,2268,,
エスペラブレイド,3,1,239,,
エスペラブレイド,4,1,347,,
エスペラブレイド,5,1,500,,
エスペラブレイド,3,1,239,,
エスペラブレイド,4,1,347,,
エスペラブレイド,5,1,500,,
ホープブレイド,3,1,239,,
ホープブレイド,4,1,347,,
ホープブレイド,5,1,500,,
ホープブレイド,3,1,239,,
ホープブレイド,4,1,347,,
ホープブレイド,5,1,500,,
エスペラエッジ,3,1,239,,
エスペラエッジ,4,1,347,,
エスペラエッジ,5,1,500,,
エスペラエッジ,3,1,239,,
エスペラエッジ,4,1,347,,
エスペラエッジ,5,1,500,,
ホープエッジ,3,1,239,,
ホープエッジ,4,1,347,,
ホープエッジ,5,1,500,,
ホープエッジ,3,1,239,,
ホープエッジ,4,1,347,,
ホープエッジ,5,1,500,,
エスペラハンマー,3,1,239,,
エスペラハンマー,4,1,347,,
エスペラハンマー,5,1,500,,
エスペラハンマー,6,1,651,,
エスペラハンマー,7,1,849,,
エスペラハンマー,8,1,1107,,
エスペラハンマー,9,1,1442,,
エスペラハンマー,10,1,1878,,
エスペラハンマー,10,5,2251,,
ホープハンマー,3,1,239,,
ホープハンマー,4,1,347,,
ホープハンマー,5,1,500,,
ホープハンマー,6,1,651,,
ホープハンマー,7,1,849,,
ホープハンマー,8,1,1107,,
ホープハンマー,9,1,1442,,
ホープハンマー,10,1,1878,,
ホープハンマー,10,5,2251,,
エスペラランス,3,1,239,,
エスペラランス,4,1,347,,
エスペラランス,5,1,500,,
エスペラランス,3,1,239,,
エスペラランス,4,1,347,,
エスペラランス,5,1,500,,
ホープランス,3,1,239,,
ホープランス,4,1,347,,
ホープランス,5,1,500,,
ホープランス,3,1,239,,
ホープランス,4,1,347,,
ホープランス,5,1,500,,
エスペラガンランス,3,1,239,,
エスペラガンランス,4,1,347,,
エスペラガンランス,5,1,500,,
エスペラガンランス,3,1,239,,
エスペラガンランス,4,1,347,,
エスペラガンランス,5,1,500,,
ホープガンランス,3,1,239,,
ホープガンランス,4,1,347,,
ホープガンランス,5,1,500,,
ホープガンランス,3,1,239,,
ホープガンランス,4,1,347,,
ホープガンランス,5,1,500,,
エスペラアックス,3,1,239,,
エスペラアックス,4,1,347,,
エスペラアックス,5,1,500,,
エスペラアックス,3,1,239,,
エスペラアックス,4,1,347,,
エスペラアックス,5,1,500,,
ホープアックス,3,1,239,,
ホープアックス,4,1,347,,
ホープアックス,5,1,500,,
ホープアックス,3,1,239,,
ホープアックス,4,1,347,,
ホープアックス,5,1,500,,
エッグトイアームズ,3,1,240,,
エッグトイアームズ,4,1,347,,
エッグトイアームズ,5,1,501,,
エッグトイアームズ,6,1,654,,
エッグトイアームズ,7,1,853,,
エッグトイアームズ,8,1,1113,,
エッグトイアームズ,9,1,1451,,
エッグトイアームズ,10,1,1893,,
エッグトイアームズ,10,5,2268,,
エスペラアームズ,3,1,239,,
エスペラアームズ,4,1,347,,
エスペラアームズ,5,1,500,,
エスペラアームズ,3,1,239,,
エスペラアームズ,4,1,347,,
エスペラアームズ,5,1,500,,
ホープアームズ,3,1,239,,
ホープアームズ,4,1,347,,
ホープアームズ,5,1,500,,
ホープアームズ,3,1,239,,
ホープアームズ,4,1,347,,
ホープアームズ,5,1,500,,
エスペラバレット,3,1,239,,
エスペラバレット,4,1,347,,
エスペラバレット,5,1,500,,
エスペラバレット,3,1,239,,
エスペラバレット,4,1,347,,
エスペラバレット,5,1,500,,
ホープバレット,3,1,239,,
ホープバレット,4,1,347,,
ホープバレット,5,1,500,,
ホープバレット,3,1,239,,
ホープバレット,4,1,347,,
ホープバレット,5,1,500,,
エスペラキャノン,3,1,239,,
エスペラキャノン,4,1,347,,
エスペラキャノン,5,1,500,,
エスペラキャノン,3,1,239,,
エスペラキャノン,4,1,347,,
エスペラキャノン,5,1,500,,
ホープキャノン,3,1,239,,
ホープキャノン,4,1,347,,
ホープキャノン,5,1,500,,
ホープキャノン,3,1,239,,
ホープキャノン,4,1,347,,
ホープキャノン,5,1,500,,
エスペラボウ,3,1,239,,
エスペラボウ,4,1,347,,
エスペラボウ,5,1,500,,
エスペラボウ,3,1,239,,
エスペラボウ,4,1,347,,
エスペラボウ,5,1,500,,
ホープボウ,3,1,239,,
ホープボウ,4,1,347,,
ホープボウ,5,1,500,,
ホープボウ,3,1,239,,
ホープボウ,4,1,347,,
ホープボウ,5,1,500,,
ゴシャガザクゥ,6,1,505,320,
ゴシャガザクゥ,7,1,642,448,
ゴシャガザクゥ,8,1,815,623,
ゴシャガザクゥ,9,1,1034,867,
ゴシャガザクゥ,10,1,1311,1200,
ゴシャガザクゥ,10,5,1570,1492,
ゴシャザクゥ,4,1,283,147,
ゴシャザクゥ,5,1,398,229,
ゴシャザクゥ,6,1,505,320,
ゴシャザクゥ,7,1,642,448,
ゴシャザクゥ,8,1,815,623,
ゴシャザクゥ,9,1,1034,867,
ゴシャザクゥ,10,1,1311,1200,
ゴシャザクゥ,10,5,1570,1492,
ゴシャガズバァ,6,1,505,320,
ゴシャガズバァ,7,1,642,448,
ゴシャガズバァ,8,1,815,623,
ゴシャガズバァ,9,1,1034,867,
ゴシャガズバァ,10,1,1311,1200,
ゴシャガズバァ,10,5,1570,1492,
ゴシャズバァ,4,1,283,147,
ゴシャズバァ,5,1,398,229,
ゴシャズバァ,6,1,505,320,
ゴシャズバァ,7,1,642,448,
ゴシャズバァ,8,1,815,623,
ゴシャズバァ,9,1,1034,867,
ゴシャズバァ,10,1,1311,1200,
ゴシャズバァ,10,5,1570,1492,
ゴシャガベチャ,6,1,505,320,
ゴシャガベチャ,7,1,642,448,
ゴシャガベチャ,8,1,815,623,
ゴシャガベチャ,9,1,1034,867,
ゴシャガベチャ,10,1,1311,1200,
ゴシャガベチャ,10,5,1570,1492,
ゴシャベチャ,4,1,283,147,
ゴシャベチャ,5,1,398,229,
ゴシャベチャ,6,1,505,320,
ゴシャベチャ,7,1,642,448,
ゴシャベチャ,8,1,815,623,
ゴシャベチャ,9,1,1034,867,
ゴシャベチャ,10,1,1311,1200,
ゴシャベチャ,10,5,1570,1492,
ゴシャガドシュ,6,1,505,320,
ゴシャガドシュ,7,1,642,448,
ゴシャガドシュ,8,1,815,623,
ゴシャガドシュ,9,1,1034,867,
ゴシャガドシュ,10,1,1311,1200,
ゴシャガドシュ,10,5,1570,1492,
ゴシャドシュ,4,1,283,147,
ゴシャドシュ,5,1,398,229,
ゴシャドシュ,6,1,505,320,
ゴシャドシュ,7,1,642,448,
ゴシャドシュ,8,1,815,623,
ゴシャドシュ,9,1,1034,867,
ゴシャドシュ,10,1,1311,1200,
ゴシャドシュ,10,5,1570,1492,
炎尾剣フォルナクス,6,1,400,343,
炎尾剣フォルナクス,7,1,506,470,
炎尾剣フォルナクス,8,1,640,638,
炎尾剣フォルナクス,9,1,808,867,
炎尾剣フォルナクス,10,1,1020,1173,
炎尾剣フォルナクス,10,5,1222,1458,
ケマスクチーロ,2,1,114,68,
ケマスクチーロ,3,1,160,107,
ケマスクチーロ,4,1,225,164,
ケマスクチーロ,5,1,316,251,
ケマスクチーロ,6,1,400,343,
ケマスクチーロ,7,1,506,470,
ケマスクチーロ,8,1,640,638,
ケマスクチーロ,9,1,808,867,
ケマスクチーロ,10,1,1020,1173,
ケマスクチーロ,10,5,1222,1458,
炎尾双刃マグネシア,6,1,400,343,
炎尾双刃マグネシア,7,1,506,470,
炎尾双刃マグネシア,8,1,640,638,
炎尾双刃マグネシア,9,1,808,867,
炎尾双刃マグネシア,10,1,1020,1173,
炎尾双刃マグネシア,10,5,1222,1458,
ケマスシレックス,2,1,114,68,
ケマスシレックス,3,1,160,107,
ケマスシレックス,4,1,225,164,
ケマスシレックス,5,1,316,251,
ケマスシレックス,6,1,400,343,
ケマスシレックス,7,1,506,470,
ケマスシレックス,8,1,640,638,
ケマスシレックス,9,1,808,867,
ケマスシレックス,10,1,1020,1173,
ケマスシレックス,10,5,1222,1458,
炎尾大剣ブレイズデル,6,1,400,343,
炎尾大剣ブレイズデル,7,1,506,470,
炎尾大剣ブレイズデル,8,1,640,638,
炎尾大剣ブレイズデル,9,1,808,867,
炎尾大剣ブレイズデル,10,1,1020,1173,
炎尾大剣ブレイズデル,10,5,1222,1458,
ケマスエスパダ,2,1,114,68,
ケマスエスパダ,3,1,160,107,
ケマスエスパダ,4,1,225,164,
ケマスエスパダ,5,1,316,251,
ケマスエスパダ,6,1,400,343,
ケマスエスパダ,7,1,506,470,
